,centroid_x,centroid_y,minx,miny,maxx,maxy,watershed_area,station
0,39.26042494338587,58.95409555188595,38.844155269077426,58.808093208676226,39.710290181692116,59.105645305238376,837.470815956323,0
19008,47.7329770926906,50.94237061424263,47.20951942574181,50.482449165691655,48.40971484576931,51.418609501934455,3669.731010657916,19008
19127,59.97688453405489,51.37370130007581,58.930927723319456,50.823144827102674,60.687126258870386,51.91499377906302,7354.119417093881,19127
19128,60.29352306238969,51.62867592384727,59.83667347191505,51.318727192482,60.687126258870386,51.91499377906302,2470.7201898819117,19128
19143,59.503784144590064,50.58839736102003,59.2525389338563,50.4593344407744,59.77649240297958,50.75000132568341,793.4660706056123,19143
19381,55.47966039154381,51.39712939087313,55.260032512590506,51.29385433672049,55.69268737172382,51.49167053448132,449.4313248167805,19381
70002,38.87414745188885,60.918640535858046,37.72663853681121,60.071940699787156,40.614901355490595,61.789065103901955,12990.75761122221,70002
70004,46.477397015044865,61.35926885704891,37.54638146013475,58.526468194412345,56.41011195485472,64.54114817316741,314042.3032680361,70004
70027,39.89137059749828,61.36911344208285,39.222070533982325,60.771379006778496,40.69364706576811,61.98696538668622,7126.213113879384,70027
70031,38.29098424062485,62.421925775358005,37.54638146013475,61.76682912985649,39.19025136319293,62.987115978302356,5538.995458790166,70031
70066,48.47227546580452,61.24693764352342,38.39440028077101,58.526468194412345,56.41011195485472,64.54114817316741,220025.71541184967,70066
70091,40.69558233510833,59.70846300731046,38.39440028077101,58.526468194412345,43.28329086303737,60.97380306998997,34779.36146915958,70091
70098,41.768515230712175,59.90345867224824,38.39440028077101,58.526468194412345,46.21660948392795,61.20383870345429,49198.830309218305,70098
70118,40.76981665197012,60.4653352054321,39.89279636722766,60.04884620910556,41.64686839404811,60.97380306998997,4858.720844956893,70118
70152,45.389407423826114,59.80703787158166,44.31846158750428,59.15076299124943,46.31690543586093,60.46873229681432,8905.480687332049,70152
70153,45.97514821169882,59.907487421781084,44.31846158750428,59.15076299124943,48.352923245262105,60.46873229681432,14752.630564749132,70153
70167,49.163599464887625,60.0119271993701,47.94954790574187,59.58683851058356,50.60065684301749,60.42556896225078,6947.265426756349,70167
70169,48.87411048838447,60.35667159463963,47.15984386063227,59.58683851058356,50.60065684301749,61.16810035553544,16515.131216616635,70169
70176,54.33549040944761,62.5452485002319,53.39482806951977,62.155057326901755,55.54194858564459,62.911010964775095,4619.970121311652,70176
70180,54.51553407300217,61.73268834493278,52.66152465324578,60.75079981910647,56.41011195485472,62.911010964775095,26420.222483245485,70180
70200,51.830219544888095,62.077781867322194,47.48665493602417,59.90503450651601,56.41011195485472,64.54114817316741,111680.63976428504,70200
70212,52.54717381994054,62.46100967951426,51.12257299249784,62.08317536852445,53.769896348330604,62.90031688068863,7724.808456798274,70212
70213,53.15061917869022,62.4857216540332,52.50200858317554,62.08317536852445,53.769896348330604,62.90031688068859,3974.21657258606,70213
70215,52.074388370838875,61.22358387537248,51.04196141521846,60.804691852812795,52.93708630741123,61.643437520321086,6077.016149858859,70215
70217,51.55421854321341,60.254178669571736,50.56447221662979,59.90503450651601,52.436847991161095,60.578006370110245,4286.322171212124,70217
70221,50.92845687613503,60.577944118960836,49.051889547163775,59.90503450651601,52.436847991161095,61.17575230527008,11688.309602805442,70221
70238,51.5300555138396,63.55036467940575,49.694500200115066,62.612524832716964,53.23082553647092,64.54114817316741,19169.871891427225,70238
70246,52.266092896198934,62.94540052431054,51.30294868714822,62.612524832716964,53.23082553647092,63.31387994961297,3956.7653389827283,70246
70250,48.98238990357822,62.58559397014853,48.09788128952512,62.16557716729462,49.884397371045424,62.99867250954924,4927.0271611413045,70250
70252,48.72956714313838,61.19075535326472,47.629073801461786,60.811342089663356,49.58768713764609,61.59515253406968,5032.359983153732,70252
70275,41.701832539274804,60.80255286593128,40.23993034801866,59.94744528564187,43.049407779296864,61.56667720845235,13157.428527742999,70275
70284,42.790364165678774,61.27344453602359,40.23993034801866,59.94744528564187,45.84398404960231,62.622365109239496,43803.28493362816,70284
70293,41.05746932243198,61.10580507102079,40.23993034801866,60.64399279367198,41.87293722197707,61.56667720845235,4831.833168850559,70293
70298,44.80343350417679,61.30405161971342,43.85210739353971,60.76408266220287,45.84398404960231,61.818378081156794,6730.87359596609,70298
70311,40.92091269437828,62.84838320476661,39.53528308028832,62.29213108817921,42.091619894647046,63.435098669418316,7782.969250344816,70311
70331,46.29854606431594,62.91612740310137,44.69174942920884,61.927999750834715,47.56450003856133,63.85445134310923,17219.866028066222,70331
70334,45.28270972623669,63.3822377098107,42.861901350767894,61.927999750834715,47.56450003856133,64.78907765881236,37094.65540883849,70334
70374,42.041205373579274,65.37520852260171,40.86682216804377,64.86830758679248,43.433245226158036,65.79184282946814,5190.909443139675,70374
70378,49.791574756790865,64.12708571753019,48.66806858189999,63.62010550950031,50.901885443488545,64.69264467703739,6386.399329930216,70378
70382,49.485681278288325,63.737660490621856,47.982664765128995,62.81893891835879,50.901885443488545,64.69264467703739,15017.1536735512,70382
70394,47.922036360374356,62.80675520020868,47.0813626257497,62.1283071866164,48.87657663194656,63.45395483399741,6856.860220517892,70394
70396,47.35460259058738,63.52738469817078,45.282316037280204,62.1283071866164,48.87657663194656,64.61959060095496,18841.32606701561,70396
70399,48.440515488470524,65.5862569861003,47.6657799768432,65.10271864427348,49.155493890977446,66.10371017737515,4283.825808242284,70399
70401,47.25107214148664,65.60346284001328,45.08022960817334,65.10262715057286,49.155493890977425,66.10371017737515,11563.85417986893,70401
